id|name
1|สถานที่เกี่ยวกับศาสนา
2|แลนด์มาร์กและอนุสรณ์สถาน
3|ศิลปะวัฒนธรรมชุมชน
4|ตลาดแหล่งชุมชน
5|พิพิธภัณฑ์
6|ธรรมชาติและสถานที่สวยงาม
7|other
