u|v|s
3534.0|2664.0|0.0
3534.0|344.0|0.0
3534.0|1100.0|0.0
3534.0|3133.0|0.0
3534.0|3517.0|0.0
3534.0|5314.0|0.0
3534.0|3154.0|0.0
3534.0|36.0|0.0
3534.0|8792.0|0.0
3534.0|7936.0|0.0
3534.0|5635.0|0.0
3534.0|3669.0|0.0
3534.0|4333.0|0.0
3534.0|4309.0|0.0
3534.0|5826.0|0.0
3534.0|7552.0|0.0
3534.0|4733.0|0.0
3534.0|1444.0|0.0
3534.0|7921.0|0.0
3534.0|98.0|0.0
3534.0|2772.0|0.0
3534.0|5823.0|0.0
3534.0|2200.0|0.0
3534.0|7227.0|0.0
3534.0|541.0|0.0
3534.0|1906.0|0.0
3534.0|6996.0|0.0
3534.0|8695.0|0.0
3534.0|1215.0|0.0
3534.0|2668.0|0.0
3534.0|3078.0|0.0
3534.0|1105.0|0.0
3534.0|1432.0|0.0
3534.0|6089.0|0.0
3534.0|7587.0|0.0
3534.0|3499.0|0.0
3534.0|2578.0|0.0
3534.0|8205.0|0.0
3534.0|3102.0|0.0
3534.0|3562.0|0.0
3534.0|416.0|0.0
3534.0|4429.0|0.0
3534.0|3939.0|0.0
3534.0|2535.0|0.0
3534.0|8378.0|0.0
3534.0|8251.0|0.0
3534.0|7704.0|0.0
3534.0|1604.0|0.0
3534.0|375.0|0.0
3534.0|6729.0|0.0
3534.0|7906.0|0.0
3534.0|8311.0|0.0
3534.0|4760.0|0.0
3534.0|3310.0|0.0
3534.0|2316.0|0.0
3534.0|8287.0|0.0
3534.0|975.0|0.0
3534.0|3286.0|0.0
3534.0|4618.0|0.0
3534.0|7761.0|0.0
3534.0|215.0|0.0
3534.0|3979.0|0.0
3534.0|5915.0|0.0
3534.0|297.0|0.0
3534.0|4292.0|0.0
3534.0|4039.0|0.0
3534.0|7669.0|0.0
3534.0|3999.0|0.0
3534.0|7689.0|0.0
3534.0|4519.0|0.0
3534.0|5949.0|0.0
3534.0|4411.0|0.0
3534.0|834.0|0.0
3534.0|2899.0|0.0
3534.0|1887.0|0.0
3534.0|6920.0|0.0
3534.0|7884.0|0.0
3534.0|2538.0|0.0
3534.0|2350.0|0.0
3534.0|2504.0|0.0
3534.0|4614.0|0.0
3534.0|6449.0|0.0
3534.0|3513.0|0.0
3534.0|3069.0|0.0
3534.0|2189.0|0.0
3534.0|1137.0|0.0
3534.0|6956.0|0.0
3534.0|3129.0|0.0
3534.0|6868.0|0.0
3534.0|531.0|0.0
3534.0|2876.0|0.0
3534.0|872.0|0.0
3534.0|5636.0|0.0
3534.0|4574.0|0.0
3534.0|6905.0|0.0
3534.0|6638.0|0.0
3534.0|646.0|0.0
3534.0|1487.0|0.0
3534.0|4252.0|0.0
3534.0|1785.0|0.0
3534.0|5754.0|0.0
3534.0|6635.0|0.0
3534.0|981.0|0.0
3534.0|6766.0|0.0
3534.0|7589.0|0.0
3534.0|2662.0|0.0
3534.0|3126.0|0.0
3534.0|2326.0|0.0
3534.0|2479.0|0.0
3534.0|926.0|0.0
3534.0|2663.0|0.0
3534.0|5404.0|0.0
3534.0|2881.0|0.0
3534.0|741.0|0.0
3534.0|730.0|0.0
3534.0|795.0|0.0
3534.0|2783.0|0.0
3534.0|6212.0|0.0
3534.0|991.0|0.0
3534.0|3909.0|0.0
3534.0|3808.0|0.0
3534.0|4178.0|0.0
3534.0|6508.0|0.0
3534.0|2086.0|0.0
3534.0|5939.0|0.0
3534.0|6502.0|0.0
3534.0|1593.0|0.0
3534.0|5355.0|0.0
3534.0|4471.0|0.0
3534.0|1610.0|0.0
3534.0|677.0|0.0
3534.0|5235.0|0.0
3534.0|4321.0|0.0
3534.0|3657.0|0.0
3534.0|4418.0|0.0
3534.0|185.0|0.0
3534.0|7387.0|0.0
3534.0|77.0|0.0
3534.0|3210.0|0.0
3534.0|1469.0|0.0
3534.0|2407.0|0.0
3534.0|2752.0|0.0
3534.0|329.0|0.0
3534.0|7532.0|0.0
3534.0|1191.0|0.0
3534.0|1001.0|0.0
3534.0|1640.0|0.0
3534.0|7420.0|0.0
3534.0|6341.0|0.0
3534.0|3349.0|0.0
3534.0|4451.0|0.0
3534.0|2851.0|0.0
3534.0|4251.0|0.0
3534.0|7543.0|0.0
3534.0|1686.0|0.0
3534.0|7958.0|0.0
3534.0|1216.0|0.0
3534.0|1730.0|0.0
3534.0|7054.0|0.0
3534.0|5662.0|0.0
3534.0|933.0|0.0
3534.0|8604.0|0.0
3534.0|160.0|0.0
3534.0|2188.0|0.0
3534.0|6695.0|0.0
3534.0|912.0|0.0
3534.0|694.0|0.0
3534.0|920.0|0.0
3534.0|6.0|0.0
3534.0|2897.0|0.0
3534.0|7037.0|0.0
3534.0|3303.0|0.0
3534.0|6462.0|0.0
3534.0|7706.0|0.0
3534.0|1844.0|0.0
3534.0|305.0|0.0
3534.0|4534.0|0.0
3534.0|3837.0|0.0
3534.0|970.0|0.0
3534.0|5858.0|0.0
3534.0|1940.0|0.0
3534.0|2586.0|0.0
3534.0|7471.0|0.0
3534.0|3049.0|0.0
3534.0|402.0|0.0
3534.0|6788.0|0.0
3534.0|4320.0|0.0
3534.0|253.0|0.0
3534.0|7224.0|0.0
3534.0|903.0|0.0
3534.0|3395.0|0.0
3534.0|1102.0|0.0
3534.0|2942.0|0.0
3534.0|3974.0|0.0
3534.0|535.0|0.0
3534.0|2171.0|0.0
3534.0|562.0|0.0
3534.0|24.0|0.0
3534.0|1007.0|0.0
3534.0|613.0|0.0
3534.0|626.0|0.0
3534.0|82.0|0.0
3534.0|7102.0|0.0
3534.0|1361.0|0.0
3534.0|4148.0|0.0
3534.0|2968.0|0.0
3534.0|6500.0|0.0
3534.0|4651.0|0.0
3534.0|6768.0|0.0
3534.0|7374.0|0.0
3534.0|1015.0|0.0
3534.0|5794.0|0.0
3534.0|7625.0|0.0
3534.0|888.0|0.0
3534.0|1414.0|0.0
3534.0|8018.0|0.0
3534.0|6595.0|0.0
3534.0|6442.0|0.0
3534.0|5310.0|0.0
3534.0|2793.0|0.0
3534.0|6065.0|0.0
3534.0|4234.0|0.0
3534.0|7045.0|0.0
3534.0|231.0|0.0
3534.0|922.0|0.0
3534.0|7156.0|0.0
3534.0|418.0|0.0
3534.0|6911.0|0.0
3534.0|4258.0|0.0
3534.0|8021.0|0.0
3534.0|6901.0|0.0
3534.0|4624.0|0.0
3534.0|1943.0|0.0
3534.0|3464.0|0.0
3534.0|2681.0|0.0
3534.0|4857.0|0.0
3534.0|956.0|0.0
3534.0|644.0|0.0
3534.0|5682.0|0.0
3534.0|643.0|0.0
3534.0|7207.0|0.0
3534.0|1474.0|0.0
3534.0|1793.0|0.0
3534.0|7323.0|0.0
3534.0|211.0|0.0
3534.0|952.0|0.0
3534.0|2809.0|0.0
3534.0|4291.0|0.0
3534.0|614.0|0.0
3534.0|2220.0|0.0
3534.0|1359.0|0.0
3534.0|6562.0|0.0
3534.0|7931.0|0.0
3534.0|2143.0|0.0
3534.0|6572.0|0.0
3534.0|49.0|0.0
3534.0|1742.0|0.0
3534.0|1735.0|0.0
3534.0|6482.0|0.0
3534.0|6116.0|0.0
3534.0|7104.0|0.0
3534.0|6416.0|0.0
3534.0|2943.0|0.0
3534.0|7367.0|0.0
3534.0|5331.0|0.0
3534.0|7350.0|0.0
3534.0|4288.0|0.0
3534.0|6674.0|0.0
3534.0|1650.0|0.0
3534.0|6961.0|0.0
3534.0|778.0|0.0
3534.0|7153.0|0.0
3534.0|3725.0|0.0
3534.0|4703.0|0.0
3534.0|427.0|0.0
3534.0|2974.0|0.0
3534.0|8553.0|0.0
3534.0|2070.0|0.0
3534.0|3374.0|0.0
3534.0|5574.0|0.0
3534.0|2231.0|0.0
3534.0|5749.0|0.0
3534.0|7622.0|0.0
3534.0|721.0|0.0
3534.0|1408.0|0.0
3534.0|4243.0|0.0
3534.0|4416.0|0.0
3534.0|1390.0|0.0
3534.0|6940.0|0.0
3534.0|3116.0|0.0
3534.0|5379.0|0.0
3534.0|1837.0|0.0
3534.0|6254.0|0.0
3534.0|5684.0|0.0
3534.0|2333.0|0.0
3534.0|1555.0|0.0
3534.0|6040.0|0.0
3534.0|1425.0|0.0
3534.0|13.0|0.0
3534.0|8110.0|0.0
3534.0|2336.0|0.0
3534.0|316.0|0.0
3534.0|3420.0|0.0
3534.0|1074.0|0.0
3534.0|593.0|0.0
3534.0|312.0|0.0
3534.0|769.0|0.0
3534.0|4215.0|0.0
3534.0|6248.0|0.0
3534.0|1980.0|0.0
3534.0|58.0|0.0
3534.0|596.0|0.0
3534.0|1037.0|0.0
3534.0|2641.0|0.0
3534.0|3575.0|0.0
3534.0|8559.0|0.0
3534.0|3225.0|0.0
3534.0|7383.0|0.0
3534.0|7090.0|0.0
3534.0|969.0|0.0
3534.0|1409.0|0.0
3534.0|7339.0|0.0
3534.0|8150.0|0.0
3534.0|2860.0|0.0
3534.0|3268.0|0.0
3534.0|1732.0|0.0
3534.0|5581.0|0.0
3534.0|6984.0|0.0
3534.0|6984.0|0.0
3534.0|2040.0|0.0
3534.0|7023.0|0.0
3534.0|6511.0|0.0
3534.0|4550.0|0.0
3534.0|818.0|0.0
3534.0|983.0|0.0
3534.0|3509.0|0.0
3534.0|2543.0|0.0
3534.0|2935.0|0.0
3534.0|1860.0|0.0
3534.0|206.0|0.0
3534.0|6823.0|0.0
3534.0|580.0|0.0
3534.0|2963.0|0.0
3534.0|460.0|0.0
3534.0|1641.0|0.0
3534.0|1174.0|0.0
3534.0|1894.0|0.0
3534.0|7515.0|0.0
3534.0|1751.0|0.0
3534.0|4644.0|0.0
3534.0|7111.0|0.0
3534.0|373.0|0.0
3534.0|373.0|0.0
3534.0|7642.0|0.0
3534.0|3071.0|0.0
3534.0|936.0|0.0
3534.0|3211.0|0.0
3534.0|4250.0|0.0
3534.0|145.0|0.0
3534.0|6542.0|0.0
3534.0|3014.0|0.0
3534.0|826.0|0.0
3534.0|766.0|0.0
3534.0|2896.0|0.0
3534.0|3142.0|0.0
3534.0|1967.0|0.0
3534.0|8118.0|0.0
3534.0|7597.0|0.0
3534.0|6342.0|0.0
3534.0|8351.0|0.0
3534.0|3016.0|0.0
3534.0|7059.0|0.0
3534.0|1678.0|0.0
3534.0|1384.0|0.0
3534.0|509.0|0.0
3534.0|5702.0|0.0
3534.0|5782.0|0.0
3534.0|5812.0|0.0
3534.0|2758.0|0.0
3534.0|1729.0|0.0
3534.0|1317.0|0.0
3534.0|4347.0|0.0
3534.0|792.0|0.0
3534.0|7686.0|0.0
3534.0|6950.0|0.0
3534.0|8536.0|0.0
3534.0|95.0|0.0
3534.0|1008.0|0.0
3534.0|1955.0|0.0
3534.0|3059.0|0.0
3534.0|819.0|0.0
3534.0|6304.0|0.0
3534.0|7018.0|0.0
3534.0|7088.0|0.0
3534.0|6506.0|0.0
3534.0|4238.0|0.0
3534.0|861.0|0.0
3534.0|2698.0|0.0
3534.0|4581.0|0.0
3534.0|434.0|0.0
3534.0|3945.0|0.0
3534.0|1507.0|0.0
3534.0|561.0|0.0
3534.0|7184.0|0.0
3534.0|243.0|0.0
3534.0|343.0|0.0
3534.0|1042.0|0.0
3534.0|806.0|0.0
3534.0|7073.0|0.0
3534.0|3877.0|0.0
3534.0|4010.0|0.0
3534.0|959.0|0.0
3534.0|5872.0|0.0
3534.0|556.0|0.0
3534.0|2253.0|0.0
3534.0|1571.0|0.0
3534.0|4467.0|0.0
3534.0|5311.0|0.0
3534.0|8739.0|0.0
3534.0|6175.0|0.0
3534.0|1625.0|0.0
3534.0|8473.0|0.0
3534.0|7478.0|0.0
3534.0|2843.0|0.0
3534.0|6952.0|0.0
3534.0|259.0|0.0
3534.0|7459.0|0.0
3534.0|6430.0|0.0
3534.0|7285.0|0.0
3534.0|5736.0|0.0
3534.0|6326.0|0.0
3534.0|5399.0|0.0
3534.0|7141.0|0.0
3534.0|504.0|0.0
3534.0|5312.0|0.0
3534.0|2053.0|0.0
3534.0|536.0|0.0
3534.0|791.0|0.0
3534.0|115.0|0.0
3534.0|5678.0|0.0
3534.0|4338.0|0.0
3534.0|4275.0|0.0
3534.0|1599.0|0.0
3534.0|294.0|0.0
3534.0|5387.0|0.0
3534.0|1218.0|0.0
3534.0|1107.0|0.0
3534.0|7020.0|0.0
3534.0|445.0|0.0
3534.0|6707.0|0.0
3534.0|7727.0|0.0
3534.0|7750.0|0.0
3534.0|854.0|0.0
3534.0|106.0|0.0
3534.0|216.0|0.0
3534.0|6925.0|0.0
3534.0|226.0|0.0
3534.0|4272.0|0.0
3534.0|3226.0|0.0
3534.0|400.0|0.0
3534.0|4358.0|0.0
3534.0|2056.0|0.0
3534.0|7470.0|0.0
3534.0|1406.0|0.0
3534.0|1192.0|0.0
3534.0|753.0|0.0
3534.0|3816.0|0.0
3534.0|4719.0|0.0
3534.0|1535.0|0.0
3534.0|7688.0|0.0
3534.0|1151.0|0.0
3534.0|8093.0|0.0
3534.0|808.0|0.0
3534.0|725.0|0.0
