venueid|userid|score|time
39405|6988|5|2.0
25948|6988|5|1.0
303|6988|5|4.0
11239|6988|5|3.0
4201|6988|5|4.0
1306|6988|4|4.0
16053|6988|5|4.0
5711|6988|5|2.0
8647|6988|4|5.0
27495|6988|5|3.0
8678|6988|5|4.0
8684|6988|5|0.1
4866|6988|5|2.0
39416|6988|5|3.0
39401|6988|5|2.0
1052|6988|5|2.0
